item,value,note,source
window1_label,2015-19,defined range for the OLDER window,
window1_start_trading_date,2014-12-31,last trading day on/before 2014-12-31,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
window1_end_trading_date,2019-12-31,last trading day on/before 2019-12-31,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
window1_membership_snapshot_date,2014-12-24,nearest S&P500 membership list on/before 2015-01-01,"github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13"
window1_membership_n_names,499,"denominator for ""full S&P500"" in window 1","github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13"
window2_label,2024-26,defined range for the NEWER window,
window2_start_trading_date,2023-12-29,last trading day on/before 2023-12-31,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
window2_end_trading_date,2026-09-11,most recent trading day available at time of fetch,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
window2_membership_snapshot_date,2023-12-18,nearest S&P500 membership list on/before 2024-01-01,"github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13"
window2_membership_n_names,503,"denominator for ""full S&P500"" in window 2","github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13"
price_data_source,"Yahoo Finance chart API v8, field indicators.adjclose (dividend+split adjusted)",used for all return and idio-vol computation,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
market_factor_for_idio_vol,^GSPC (S&P 500 price index) daily return,"single-factor market-model regression per ticker per calendar quarter, min 40 daily obs required","Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
cap_weighted_benchmark_price,^GSPC,"S&P 500 price index, no dividends","Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
cap_weighted_benchmark_totalreturn,^SP500TR,S&P 500 official Total Return index (dividends reinvested),"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
equal_weighted_benchmark_price,^SP500EW,"S&P 500 official Equal Weight index, price only, no dividends","Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
equal_weighted_benchmark_totalreturn_proxy,RSP,"Invesco S&P 500 Equal Weight ETF, adjclose approximates total return incl. ~0.20%/yr expense-ratio drag","Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
flow_proxy_series,"Z.1 'Exchange-traded funds' + 'Mutual funds' sectors, flow_bn (net purchases of corporate equities), quarterly",NOT S&P-500-specific; broadest free proxy for passive/fund equity flow found,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv (this project's Fed Z.1 flow-of-funds extract), sectors 'Exchange-traded funds' and 'Mutual funds', flow_bn column"
top10_2015_source,"named list, 2015-06-30 snapshot","reused verbatim from already-vetted P2b corrected output, not re-derived","data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task)"
top10_2023_source,"named list, 2023-06-30 snapshot","used as start-of-window-2 proxy (nearest available vetted snapshot, ~6 months before 2024-01-01)","data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task)"
top10_2025_source,"named list, 2025-06-30 snapshot",used as mid-window-2 robustness / look-ahead check,"data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task)"
ticker_renames_applied,"MMC->MRSH, BK->BNY, GPS->GAP","identified via Yahoo Finance search API after original ticker 404d; company ticker changes, not delistings","Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
