due_date	what_to_observe	resolves	source	status
2026-08-17	RESOLVED 22 Aug: THE 17 AUGUST FILINGS DO NOT EXIST. FERC granted PJM (20260814-3059) and MISO (20260814-3058) 90-day ABEYANCES on 14 Aug, three days before the deadline. No show-cause responses were filed. Verified directly in FERC eLibrary. See C-048	The three panel positions CANNOT resolve — the event was deferred, not decided. Superseded by the 2026-11-12 abeyance-expiry row	2026-08-22-Parcel-C-FERC-Return.md section 6; CORRECTIONS.md C-048	done
2026-08-25	READ THE 30-DAY INFORMATIONAL REPORTS — CONFIRMED REAL. Filed ~20 July under the 18 Jun orders; MISO's is accession 20260720-5204 (EL26-70). Third parties have already commented (NGSA 20260810-5108). Pull the equivalent for all six dockets EL26-67 to -72	These are the ONLY substantive RTO submissions in the proceeding to date. They cover resource adequacy measures and proposals, NOT tariff transferability — a different question, but real, primary, and unread	2026-08-22-Parcel-C-FERC-Return.md section 6.3. CLOSED 30 Aug: all six reports read; findings in 2026-08-30-FERC-EL26-Informational-Reports.md; no RTO reported aggregate large-load GW; co-location absent from 5 of 6	done
2026-08-31	AUTOMATED 24 Aug — run `bin/pull_series.py --only finra`. It downloads the FINRA margin workbook, saves a DATED copy to data/vintages/finra/ (FINRA overwrites one file at one URL, so the archive only exists because we keep it), and appends debit balances / free credits as vintage rows. History 1997-01 onward in data/history/. Latest at 24 Aug: Jul-26 debit 1,417.2bn	Whether retail/brokerage margin borrowing keeps rising alongside the conduit-funded institutional equity leverage of D8b	Shadow_Debt_Measurement_Handbook.md:5. RAN 31 Aug: Jul-2026 edition landed — margin debits 1,417.2bn. RAN 31 Aug: FINRA had NOT yet published the August edition — July (margin debt 1,417.2bn) still latest, identical to the 24 Aug and 30 Aug pulls. Vintage copies saved; no new observation.	done
2026-09-05	ANSWERED 11 Sep: E-002 was pasted verbatim and the principal AMENDED the goal (THE_ASK.md E-003) — widened from the nexus to what drives asset prices and where the money comes from. Canonical string, CLAUDE.md and RESEARCH_STATE section 0.0 rewritten the same day; the agent's formulation awaits the principal's confirmation. ORIGINAL ROW: GOAL READ-BACK. Paste the VERBATIM quote in THE_ASK.md entry E-002 to the principal and ask whether it still describes the intent. Do NOT summarise it and do NOT restate the goal in your own words — that check ran on 22 Aug and passed while the record was wrong (E-000). On completion, add the next row +14 days	The only mechanism that has ever caught goal corruption. Internal consistency cannot: on 22 Aug every document agreed with every other and all of them were wrong	THE_ASK.md E-000; CORRECTIONS.md C-041	done
2026-09-25	ANSWERED 25 Sep: E-003 and E-004 were pasted verbatim. The principal confirmed the goal and CHARTER's wider scope (rates, FX, commodities), and asked for ONE clear mission statement as the standing goal (THE_ASK.md E-015). Installed 25 Sep; its read-back is calendared separately	The only mechanism that has ever caught goal corruption. Internal consistency cannot: on 22 Aug every document agreed with every other and all of them were wrong	THE_ASK.md E-003 and E-000; RESEARCH_STATE.md section 0.0	done
2026-09-15	DONE 12 Sep (filed 11 Sep, read early): RPO $664bn vs $455bn a year earlier, only 13% due as revenue within 12 months; $288bn of additional data-centre lease commitments OFF balance sheet (from $260bn); purchase obligations $34.15bn from $13.3bn; NO customer-concentration disclosure in the 10-Q at all. Oracle FY27 Q1: the RPO composition and customer-concentration note, not the earnings release	Panel lens A's falsifier and lens C's downgrade clock both live here	Analysis/Panel_Synthesis.md:124	done
2026-09-25	Micron FQ4 and TrendForce Q4 DRAM contract guide	Below the Q3 13-18% band reopens panel lens D's memory short that evening (the panel is private, E-015); above it kills the thesis permanently	Analysis/Panel_Synthesis.md:124	OPEN
2026-09-30	Apollo commitment to price its full credit book daily	D1 disagreement resolves BOTH ways: panel lens B exits regardless of P&L; lens C needs secondary prints inside ~15pts of NAV	Analysis/Panel_Synthesis.md:D1	OPEN
2026-09-30	Q3 2026 hyperscaler aggregate free cash flow crossing zero (Epoch AI, from SEC XBRL) — marked UNVERIFIED, a projection not a measurement	The regime-change marker for workstream B. If FCF stays positive the funding identity conclusion holds unchanged	Funding_Identity_First_Principles.md section 2 qualification (iv)	OPEN
2026-09-30	Oracle guarantee of lessor borrowing ($3.3bn, ASC 460) MATURES; Alphabet energy-equipment financial guarantees ($7.6bn) have terms through Sept 2026	Whether the $86.2bn live guarantee stack shrinks by ~$10.9bn or is rolled. Either way the 22 Aug figure is a point-in-time reading with a known decay date	2026-08-22-Guarantee-Stack.md	OPEN
2026-09-30	Q3 quarter-end: observe equity financing cost (CME AXW total-return futures basis), ABCP outstanding (FRED ABCOMP) and SOFR/repo behaviour. Morgan Stanley flagged deleveraging risk at the June quarter-end; it did not materialise. September is the next test	Whether conduit-funded equity leverage (D8) meets a dealer-capacity wall at quarter-end, and whether ABCP growth continues through it	2026-08-23-FT-Harvest-ABCP-Conduits-And-Equity-Repo.md	OPEN
2026-10-01	Form PF private-credit strategy category takes effect (deferred three times already)	Whether a private-credit series becomes constructible from official data at all	Shadow_Debt_Measurement_Handbook.md section 4 gap 15	OPEN
2026-10-10	Re-run the Beignet / Vantage / CoreWeave census on the SEC BULK N-PORT dataset for 2026Q3 when posted (~early Oct; 2026Q2 file already used 23 Aug — C-053). One local scan of FUND_REPORTED_HOLDING.tsv, not 1,497 fetches	Turns the 'registered funds hold $2–4bn of the $27bn Beignet' estimate into a measured number; tests whether the daily-redeemable share is rising	2026-08-22-D2-Who-Holds-The-AI-Paper.md section 4 and 7	OPEN
2026-10-31	Comfort Systems Q3: sequential backlog growth	Below ~8% QoQ from 12.9% ends panel lens D's position that evening	Analysis/Panel_Synthesis.md:124	OPEN
2026-10-31	Meta El Paso venture: closing expected Q3 2026. Confirm closed and get the maximum-exposure figure	Moves ~$13bn from signed-not-effective into the live stack; tests whether Meta discloses it on the same ASC 810 basis as the Louisiana Venture	2026-08-22-Guarantee-Stack.md	OPEN
2026-11-12	FERC EL26-67 to -72: the 90-day abeyances granted 14 Aug 2026 expire. Responses/§205 filings due 16 Nov (CAISO order explicit; CAISO board 28 Oct; SPP until 20 Nov). Pre-read from the 20 Jul reports (2026-08-30 findings doc): emerging service classes are bilateral+curtailable (SPP CHILLS, ISO-NE bring-your-own-generation + ICR exclusion, NYISO deficiency-to-the-load), NOT transferable	THE resolving event for all three pre-registered panel positions — deferred here from 17 Aug. Does a TRANSFERABLE flexible-load service class appear? Note this lands within days of the GE Vernova Q3 print, so BOTH legs of panel lens D's GEV/ENR cover trigger now resolve in the same week	2026-08-22-Parcel-C-FERC-Return.md section 6.4	OPEN
2026-11-15	Fed Financial Stability Report, November edition, Table 4.1 runnable money-like liabilities	Updates the $27,033bn / +12.0% y/y headline. Recompute the residual and the growth gap vs the 5.4% long-run average	Shadow_Debt_Measurement_Handbook.md section 2 item 1	OPEN
2026-11-15	Q3 2026 10-Qs: re-read ASC 842 leases-not-yet-commenced for all six filers	The $1,122.9bn is the load-bearing number of the essay and has no XBRL tag, so it must be re-read by hand each quarter. Prior-period equivalents were ~$417.4bn	2026-08-22-Guarantee-Stack.md	OPEN
2026-11-15	GE Vernova Q3 print: does GEV convert 10 GW+ of slot reservations into FIRM orders? This is the SECOND AND ONLY REMAINING LEG of panel lens D's GEV/ENR cover trigger	First leg reportedly fired 17 Aug (RTOs defended firm-service-only). BOTH legs required — if GEV converts 10GW+, the bottleneck binds, the short is wrong on mechanism not timing, and the position covers that evening	Analysis/Panel_Individual_Reads.md (lens D, private); 2026-08-22-Parcel-C-FERC-Return.md section 3	OPEN
2026-11-30	Refresh the D1/D2/D3 series after 2026Q3 data lands: run bin/pull_series.py (appends a dated vintage to data/series.tsv), then diff against the 2026-08-23 vintage. Re-run the Jun-2023-base and YE2021-base deltas	Whether private shadow money keeps rising with bills now that the ON RRP buffer is at zero — the cleaner test is ahead, not behind (D1 §5.2)	2026-08-22-D1-Bill-Supply-vs-Shadow-Money.md	OPEN
2026-12-11	Z.1 Financial Accounts, 2026Q3 release. Series FA105005305 (NFC financing gap) on BOTH bases	The tripwire on the whole workstream-B conclusion. A sustained positive gap means external funding has opened	Funding_Identity_First_Principles.md section 2	OPEN
2026-12-31	NAIC Capital Adequacy (E) Task Force: RBC factor decision, and check the record for grandfathering or phasing BEFORE committing	Panel lens C's NAIC trade — the only panel position with a named holder, a statutory date and an excluded natural bidder. Grandfathering is its stated falsifier	Analysis/Panel_Individual_Reads.md	OPEN
2026-12-31	D3 pre-registered prediction check: if the policy rate has fallen materially by year-end, structural demand implies MMF assets heading toward ~$5.7–6trn, not $8.3trn. Record MMF total (OFR) and the policy rate; judge direction, not level, at this first check	Falsifies or supports the D1/D3 claim that the 2021–26 cash surge is rate-driven rather than structural	2026-08-23-D3-Cash-Pools-vs-Asset-Management-Structure.md section 6	OPEN
2027-01-18	BIS LBS quarterly release: break-and-FX-adjusted offshore USD flow, series Q.F.C.A.USD.F.5J.A.5A.A.5J.N, L_MEASURE=F	The single number most likely to change the operator view. Currently +$1.90trn/4Q, +11.9% y/y	Shadow_Debt_Measurement_Handbook.md section 3 number 4	OPEN
