row_type,figure_label,value_pct,numerator,denominator,as_of,source,how_it_relates_to_greens_figures
green_claim,"Green Jan 2025 ""~45-47% of the market""",45-47,"passive/index investing (method undefined by Green)","""the market"" (undefined by Green; presumed US stock market value)",Jan 2025,"Michael Green, own on-air/interview estimate (not a published dataset; per brief)","Baseline claim being checked. No primary source found here reaches this level against a stock-market denominator; closest independent stock-market figure is Chinco & Sammon 33.5% (2021). Matches ICI's fund-asset-based index share (Fig 2.5) only if one substitutes fund assets for ""the market""."
green_claim,"Green Jun 2026 ""roughly half of all the money in U.S. stocks""",~50,"passive/index investing (method undefined by Green)","""money in U.S. stocks"" (presumed US stock market value)",Jun 2026,"Michael Green, public statement (per brief)","No stock-market-value-denominated primary source reaches 50%. ICI's index MF+ETF share of LONG-TERM FUND assets (not stock value) was 52% at year-end 2025 -- almost exactly ""half"" -- suggesting Green may be describing the fund-asset share, not the stock-market share."
green_claim,"Green relaying Morningstar ~65% passive",65,"passive (index) equity mutual fund + ETF assets","equity mutual-fund/ETF assets",year-end 2024,"Michael Green citing Morningstar (per brief)","Compare to Third-Derivative-derived ICI estimate of 63.3% (index share of US domestic-equity fund assets, MF+ETF, year-end 2025) -- see row below. Close match once denominator is aligned to equity-fund assets specifically (not stock market, not all fund assets)."
project_note,"Project note ~55% of US fund assets",55,"passive (index) fund assets","US fund assets (scope/date not specified in note)",undated,"Third Derivative Research project note (per brief)","Closely matches ICI Fig 2.5: index MF+ETF = 52% of long-term (all) fund total net assets at year-end 2025, and was 40% at year-end 2020 -- so ~55% is plausible for a slightly different cut/date but is the SAME denominator family as Green's Jun 2026 ""half"" claim, not the stock-market denominator used in his Jan 2025 claim."
academic_claim,"Chinco & Sammon: true passive roughly double conventional measure","~2.1x","true passive ownership (reconstitution-day volume method, 5 major indexes) vs conventional index-fund ownership (ICI, disclosed holdings)",US stock market capitalization,2021,"Chinco & Sammon (2024), free copy from author site","CONFIRMED directly from paper: 33.5% (true passive) vs 16.0% (ICI conventional index-fund share), same year, same stock-market denominator. Ratio = 2.09x, i.e. ""roughly double"" is accurate as characterized."
ici_factbook,"ICI: index MF+ETF share of long-term fund assets (2015)",28,"index mutual fund + index ETF total net assets","long-term mutual fund + ETF total net assets (excludes money market funds; ETF figures exclude commodity ETFs)",year-end 2015,"ICI 2026 Investment Company Fact Book, Figure 2.5 (icifactbook.org, ch2 PDF p.7)","Same denominator family as project note (~55%) and Green Jun 2026 (""half of money in stocks"" -- if he meant fund assets, not stock value)."
ici_factbook,"ICI: index MF+ETF share of long-term fund assets (2025, latest)",52,"index mutual fund + index ETF total net assets","long-term mutual fund + ETF total net assets (excludes money market funds; ETF figures exclude commodity ETFs)",year-end 2025,"ICI 2026 Investment Company Fact Book, Figure 2.5 (icifactbook.org, ch2 PDF p.7)","Nearly identical to project note's ~55%. Nearly identical to Green Jun 2026's ""roughly half"" IF his denominator is fund assets, not stock-market value as his words literally say. Total long-term fund assets were $9.9t (2010), $14.9t (2015), $24.8t (2020), $36.6t (2025)."
ici_factbook,"ICI: index domestic-equity MF+ETF share of US stock market (2015)",11,"index domestic-equity mutual fund + ETF holdings","US stock market capitalization (WFE)",year-end 2015,"ICI 2026 Investment Company Fact Book, Figure 2.6 (icifactbook.org, ch2 PDF p.8)","Active domestic-equity MF+ETF held another 18% same year (other holders 71%). This is the closest ICI figure to a stock-market-value denominator; it is far below Green's Jan 2025 / Jun 2026 figures."
ici_factbook,"ICI: index domestic-equity MF+ETF share of US stock market (2025, latest)",19,"index domestic-equity mutual fund + ETF holdings","US stock market capitalization (WFE)",year-end 2025,"ICI 2026 Investment Company Fact Book, Figure 2.6 (icifactbook.org, ch2 PDF p.8)","Active domestic-equity MF+ETF held another 11% same year (other holders 69%). Far below Green's Jan 2025 (45-47%) and Jun 2026 (~50%) claims if those are read as stock-market-value shares."
derived_calc,"Third-Derivative-derived: index share of domestic-equity FUND assets (2015)",37.9,"index domestic-equity MF+ETF (implied $)","total domestic-equity fund assets, MF+ETF combined (implied $)",year-end 2015,"Derived from ICI Fig 2.6 (11% index / (11%+18% index+active) of stock-market cap -- the market-cap denominator cancels algebraically)","NOT an ICI-published figure -- a Third Derivative calculation. Provided because the brief's ""share of domestic-equity fund assets"" is not directly published by ICI; this is the best reconstruction from Fig 2.6's own percentages."
