table,table_heading_verbatim,line_item,amount_usd_bn,period,note_ref,form,accession,url
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Supply and capacity,279,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Cloud service agreements,29,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Data center leases not commenced,25,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Equity investments,25,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Capital expenditures,8,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 1: Commitments,"Future commitments by fiscal year as of July 26, 2026",Total,366,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 2: Additional Commitments,"Future commitments by fiscal year as of July 26, 2026 [under heading 'Additional Commitments and Guarantees' > 'Additional Commitments']",AI cloud agreements,36,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Additional Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 2: Additional Commitments,"Future commitments by fiscal year as of July 26, 2026 [under heading 'Additional Commitments and Guarantees' > 'Additional Commitments']",Data center leases not commenced for third party,20,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Additional Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 2: Additional Commitments,"Future commitments by fiscal year as of July 26, 2026 [under heading 'Additional Commitments and Guarantees' > 'Additional Commitments']",Total,56,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Additional Commitments,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 3: Guarantees,"The following table summarizes the maximum gross exposure related to our guarantees, including the SB Energy Corp. guarantees signed in August 2026 (in billions)","Land, power, and shell guarantees for AI clouds",3.5,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Guarantees,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 3: Guarantees,"The following table summarizes the maximum gross exposure related to our guarantees, including the SB Energy Corp. guarantees signed in August 2026 (in billions)",SB Energy Corp. guarantees,105.0,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Guarantees,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
Table 3: Guarantees,"The following table summarizes the maximum gross exposure related to our guarantees, including the SB Energy Corp. guarantees signed in August 2026 (in billions)",Total,108.5,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 - Commitments and Contingencies > Additional Commitments and Guarantees > Guarantees,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
RECONCILIATION,n/a,"DIFFERENT POPULATIONS, same period, same note -- not a genuine inconsistency and not double-counted. Table 2 ($56bn, heading 'Additional Commitments') is NVIDIA's firm/executory commitments to support AI-cloud partners (AI cloud service agreements NVIDIA has committed to buy back capacity on/lease payments, plus data-center leases NVIDIA holds and 'expect[s] to reassign...to third parties'). Table 3 ($108.5bn, heading 'Guarantees') is a DIFFERENT obligation type: maximum CONTINGENT exposure if a customer defaults -- 'Land, power, and shell guarantees for AI clouds' ($3.5bn, pre-existing) plus the new August-2026 'SB Energy Corp. guarantees' ($105.0bn, capped, for the OpenAI/PORTS Technology Campus buildout, effective only as each of nine lease phases commences from FY2029). Table 1 ($366bn) is a THIRD, still different population: NVIDIA's own supply-chain/manufacturing/R&D commitments to ITS OWN suppliers, unrelated to customer guarantees. All three tables share the same 'as of July 26, 2026' date -- this is not a timing artifact.",n/a,as of 2026-07-26 (Q2 FY2027 10-Q),Note 10 in full,10-Q,0001045810-26-000075,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm
