issuer,pricing_date,disclosure_type,investors_or_program_detail,amount_usd_million,pct_of_base_deal,source_note,confidence
Space Exploration Technologies Corp (SpaceX),2026-06-11,directed share program (friends & family / employees),"Up to 5% of the offering reserved for selected employees and friends/family of executive officers, chosen at executive officers' discretion; NOT subject to the standard lock-up",3750,5.0%,WebSearch: Bloomberg / CNBC / Quartz coverage of SpaceX's DSP disclosure (2026-06-01). Not read directly from the 424B4/S-1 text by this agent.,"medium -- multiple reputable outlets agree; the dollar figure is this agent's own calculation (5% x USD75,000mn base) matching a press-cited USD3.75bn figure"
Space Exploration Technologies Corp (SpaceX),2026-06-11,retail allocation,"Reported as high as approximately 30% of the offering earmarked for retail investors in early reporting, cut to 'low 20s percent' shortly before pricing; distributed via Robinhood, Fidelity, Charles Schwab, SoFi, E*TRADE (versus a typical 5-10% retail allocation industry-wide)",,20-23% (estimated),"WebSearch: CNBC (2026-06-11, 'cuts retail IPO allocation to low 20% range'), Fortune, Motley Fool. Not read directly from the prospectus text.","medium -- the percentage is a range reported pre-pricing citing unnamed persons, not a hard number confirmed by this agent in the filing itself"
Space Exploration Technologies Corp (SpaceX),2026-06-11,cornerstone / anchor investors,No named cornerstone or anchor investor tranche was found in this agent's searches (distinct from the DSP above). Absence of evidence is not evidence of absence -- the underlying 424B4 text was not read directly.,,,WebSearch only; www.sec.gov blocked this agent from reading the 424B4 (see caveats),"low confidence in the negative -- flagged as an open question, not a finding"
SK hynix Inc.,2026-07-09,cornerstone investors,"Three named cornerstone investors -- Baillie Gifford Overseas Limited, Coatue Management L.L.C., and Situational Awareness Partners LP -- indicated combined interest in purchasing up to USD7,000mn of ADSs at the IPO price (non-binding)",7000,26.4%,WebSearch summary citing filing-derived reporting (IPOScoop / TechCrunch / Fortune style coverage of the F-1). Not read directly from the F-1/424B4 text by this agent.,medium -- specific named funds and a round USD7bn figure are characteristic of genuine cornerstone letters quoted in prospectuses; not independently verified against filing text
Medline Inc.,2025-12-16,cornerstone investors,"Eight named cornerstone investors -- Baillie Gifford Overseas Limited, Capital Research Global Investors, Counterpoint Global (Morgan Stanley Investment Management), Durable Capital Partners LP, GIC Private Limited, Janus Henderson Investors, Viking Global Investors LP, and WCM Investment Management LLC -- indicated combined interest in purchasing up to USD2,350mn of Class A shares (non-binding); shares purchased by cornerstone investors NOT subject to the underwriters' lock-up",2350,37.5%,WebSearch summary (ts2.tech / EBC Financial coverage) describing content attributed to Medline's S-1/A. Not read directly from the filing text by this agent.,"medium -- consistent, specific, named-fund detail typical of an actual cornerstone letter in the prospectus; not independently verified against filing text"
Cerebras Systems Inc.,2026-05-13,directed share program,"Shares offered at the IPO price to persons identified by management and long-tenured employees, described as potentially including business relationships and friends/family (standard DSP language); no dollar amount or percentage found",,,"WebSearch summary referencing Cerebras' own 424B4 (EDGAR URL surfaced by search: sec.gov/.../cerebras-424b4.htm, accession 0001628280-26-035214) -- URL located but NOT fetched by this agent because www.sec.gov had already refused an earlier request in this session (see caveats)",low-medium -- the program's existence is well corroborated; its size is unknown
Cerebras Systems Inc.,2026-05-13,indications of interest / bookbuilding demand signal,"Institutional investors asked to state shares wanted and maximum price (standard IOI mechanic); roadshow reported as more than 20x oversubscribed; price range raised twice (from USD115-125, to USD150-160 with share count raised to 30mn, pricing finally at USD185, above the revised top of range)",,greater than 2000% oversubscription (not an allocation share),"WebSearch: Yahoo Finance, Morningstar, TECHi, Blockonomi coverage of the roadshow. Not read directly from the filing text.",medium -- multiple outlets agree on the oversubscription multiple and the two range increases
Cerebras Systems Inc.,2026-05-13,cornerstone / anchor investors,No named cornerstone or anchor investor tranche found in this agent's searches,,,WebSearch only,"low confidence in the negative -- flagged as an open question, not a finding"
Circle Internet Group Inc.,2025-06-04,indication of interest (single named investor),"ARK Investment Management LLC and affiliates indicated interest in purchasing up to USD150mn of Class A shares at the IPO price, on the same terms as other purchasers (explicitly non-binding per the filing language reported)",150,14.2%,WebSearch summary explicitly describing this as documented in Circle's SEC Form S-1/A filing (coindesk/ark-invest.com/protos.com coverage). Not read directly from the S-1/A text by this agent.,"medium-high -- a specific figure attributed directly to the filing by multiple sources, though this agent did not read the filing itself"
Circle Internet Group Inc.,2025-06-04,"press-reported, unconfirmed as filed disclosure","BlackRock Inc. reported by Bloomberg to be considering acquiring approximately 10% of the shares offered, prior to pricing",,"approximately 10% (reported, pre-pricing)","WebSearch: Coindesk citing Bloomberg reporting. This is market reporting about investor intentions, NOT confirmed by this agent to appear as a disclosed indication of interest in the prospectus itself.","low -- distinguish explicitly from the ARK figure above, which was filing-sourced; this one is press speculation only"
