window,comparison,detail,cumulative_gap_pp,annualized_gap_pp_per_yr,n_constituents,source
2015-19,cap_weighted_minus_equal_weighted,"price-only: ^GSPC minus ^SP500EW, no dividends either side",12.23,1.78,503,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2015-19,cap_weighted_minus_equal_weighted,"total-return: ^SP500TR minus RSP (ETF, ~0.20%/yr fee drag)",16.59,2.24,503,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,cap_weighted_minus_equal_weighted,"price-only: ^GSPC minus ^SP500EW, no dividends either side",24.94,7.23,503,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,cap_weighted_minus_equal_weighted,"total-return: ^SP500TR minus RSP (ETF, ~0.20%/yr fee drag)",24.43,6.91,503,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2015-19,top10_minus_true_equal_weight_benchmark,"top10(2015 list, equal-wtd) minus ^SP500EW (price)",31.67,4.38,10 vs 503,"data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task); Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2015-19,top10_minus_true_equal_weight_benchmark,"top10(2015 list, equal-wtd) minus RSP (total return)",19.26,2.58,10 vs 503,"data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task); Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,top10_minus_true_equal_weight_benchmark,"top10(2023 list, equal-wtd) minus ^SP500EW (price)",59.18,16.08,10 vs 503,"data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task); Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,top10_minus_true_equal_weight_benchmark,"top10(2025 list, look-ahead) minus ^SP500EW (price)",92.64,23.82,10 vs 503,"data/p2b_top10/top10_by_year_corrected.csv (already-vetted, corrected-method output of this project's P2b task); Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2015-19,"top10_minus_own_rest_of_market [SURVIVORSHIP-BIASED, see note]","top10(2015 list) minus rest_of_market (396-name universe, only 79.4% of true 499 membership had usable price history)",9.08,1.19,10 vs 386,"github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,top10_minus_own_rest_of_market,"top10(2023 list) minus rest_of_market (485-name universe, 96.4% coverage, low survivorship bias)",54.79,14.75,10 vs 475,"github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
2024-26,top10_minus_own_rest_of_market,"top10(2025 list) minus rest_of_market (485-name universe, 96.4% coverage, low survivorship bias)",88.76,22.65,10 vs 475,"github.com/fja05680/sp500, 'S&P 500 Historical Components & Changes (Updated).csv', community-maintained free dataset; fetched 2026-09-13; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose, no API key; fetched 2026-09-13"
