claim_id	episode_id	date	show	speaker_label	attribution_status	position	paraphrase	anchor_quote	number_stated_and_source	refuting_observation
G-001	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 118	Green estimates passive investing's share of the market at roughly 45-47%, based on his own analysis.	somewhere around 45 to 47% passive	~45-47% passive share; source: his own estimate/models (not externally cited)	A independent, methodologically transparent estimate of the passive share that comes in well below or above 45-47%.
G-002	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 114	Green argues that many phenomena usually blamed on the Fed (low rates, persistent rally, MAG7 separating from the rest of the market) are actually explained by the mechanics of an ever-larger passive bid entering markets.	the mechanical properties of introducing a larger and larger passive bid	none given	Fed-attributed phenomena (rate cuts, QE) tracking asset prices independent of any measurable change in passive flow share.
G-003	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 115	Green frames the risk that an unwind of the passive bid could be destabilizing as a real but still-unproven hypothesis, not an established fact.	remains a theoretical but an increasingly well-evidenced hypothesis	none given	A large, sustained reversal of passive flows (e.g. sustained 401k net outflows) that does NOT produce outsized volatility or a disorderly market decline.
G-004	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 121	Citing Morningstar, Green says under a third of mutual-fund/ETF assets are actively managed; passive is about 65% of equity fund/ETF assets and approaching 40% on the fixed-income side, with mutual funds and ETFs together only about 40% of all managed assets (he argues much of the remaining 60% is closet-indexed too).	about 65% passive on the equity side	65% passive (equity mutual funds/ETFs); ~40% passive (fixed income); mutual funds+ETFs = ~40% of managed assets; source: Morningstar analysis of year-end 2024 data (named source)	Morningstar or a comparable data provider publishing materially different active/passive shares for the same period.
G-005	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 158	Green attributes the outsized outperformance of the largest stocks to two mechanical/market-structure channels identified in Valentin Haddad's academic work (ease of market-making in mega-caps, and limited substitutability), not simply to an academic 'size factor.'	consistent with the work of Valentin Haddad	none given (cites Haddad's research by name, no figure)	Largest-cap outperformance fully explained by earnings/fundamentals with no residual tied to market-making or substitutability effects.
G-006	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 197	Green argues passive index-tracking vehicles structurally cannot bid on newly public companies until they are added to an index, which is pushing a growing bifurcation between public and private-market valuations and discouraging conventional IPOs.	there is no mechanism for passive investing to make a bid	none given	A wave of conventional (non-direct-listing, non-SPAC) IPOs pricing and trading normally without index-inclusion catalysts.
G-007	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 258	Green predicts rising correlation among mega-cap stocks could eventually flip the passive-bid effect into reverse, as happened in 2022, when the largest stocks underperformed the most as investors grew uncomfortable holding concentrated large positions.	The largest stocks underperformed the most	none given (references 2022 as the precedent episode)	A future high-volatility drawdown in which the largest index constituents outperform smaller ones, contrary to the 2022 pattern he cites.
G-008	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 433	Green says leverage is being reintroduced inside registered funds (2x/3x levered and single-stock ETFs) for the first time since the 1920s, magnifying the dollar impact of a given inflow because the fund itself borrows on top of what investors contribute.	$1 come in and $2 gets invested	$1 in -> ~$2 invested in levered-ETF flows, vs ~$0.95 invested per $1 in a typical active fund; source: his own characterization/observation, no external citation	Levered/single-stock ETF assets under management growing without any measurable amplification of the underlying securities' daily volume or price moves.
G-009	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 777	Citing an academic paper on who clears the market when passive trades, Green says the counterparties who actually sell shares to passive buyers are predominantly corporate insiders, not other active investors.	the provider of liquidity to passive when people try to buy in are corporate insiders	none given (cites a paper, name not clearly captured in transcript: heard as 'co Salmon's Who Clears the Market When Passive Trades?')	Data showing passive-fund share purchases are matched mainly by active-manager or retail selling rather than insider selling/repurchase activity.
G-010	2994	2025-01-27	The Grant Williams Podcast	SPEAKER_02	Mike Green (roster-bound, conf 1.00)	line 715	Green says non-bank lenders (NDFI) providing leverage via total return swaps to funds/hedge funds -- i.e. private credit and shadow-bank leverage -- is now the only growing form of leverage in the economy, replacing traditional bank balance-sheet lending.	the growth in lending to non-depository financial institutions, NDFI	none given (qualitative, 'no other form of leverage on net is growing')	Bank-balance-sheet lending/margin debt resuming meaningful net growth alongside or instead of NDFI/private-credit lending.
G-011	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 113	Green's framing for his new firm, Tier 1 Alpha: a fund is not a pass-through to a security but a 'liquidity concentration vehicle' that pools contributions made with no price-sensitivity (e.g. a 401k contribution) and then discharges that pooled liquidity into individual securities.	that fund is a liquidity concentration vehicle	none given	Evidence that fund-level flows track security-level price-sensitive decisions rather than mechanical contribution schedules (e.g. contribution timing correlating with valuation signals).
G-012	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 214	Green estimates the aggregate daily passive bid for the largest S&P companies at roughly $300 million/day, far smaller than the roughly $3 billion/day that flowed into Micron alone during 2026's leveraged semiconductor-ETF-driven melt-up -- illustrating how much larger extreme, leverage-driven flows can be.	our estimate of the overall passive bid is about $300 million a day	~$300M/day passive bid (largest-cap baseline) vs ~$3B/day single-stock inflow into Micron at the melt-up's peak; source: Tier 1 Alpha's proprietary flow-tracking database/models	Independent flow data (e.g. exchange/13F-derived) showing daily passive inflows to mega-caps far above or below the ~$300m/day figure.
G-013	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 215	Green says Tier 1 Alpha's models attribute about half of the daily price movement in the names most affected by the 2026 semiconductor melt-up to mechanical, leverage-driven ETF flow rather than fundamentals or discretionary trading.	Our models ultimately could explain about 50% of the daily price movement	~50% of daily price movement attributed to mechanical flows; source: Tier 1 Alpha's own models	A decomposition of the same price moves (by an independent researcher) attributing the bulk of the move to earnings/fundamental news instead.
