path	date	kind	channels	explanandum	status	reusable
2026-08-21-Inbox-Harvest-And-Research-Plan.md	2026-08-22	analysis	c,d,a	P	claim	Green flow-multiplier/passive-bid material and margin-debt re-derivation are early (d)/(c) evidence
2026-08-21-Offshore-Dollar-And-Money-Like.md	2026-08-21	analysis	b	none	superseded	Core +$1.90trn offshore money-creation measure reusable for b; sign-inversion claim in doc dead (C-018/019)
2026-08-21-Safe-Asset-Share-Reexamined.md	2026-08-22	analysis	a,c	none	claim	GLM safe-asset-share null-fails finding; FA-vs-FR discriminating test reusable for channel a
2026-08-21-Singh-And-The-Two-Circuits.md	2026-08-21	analysis	c	P	claim	Refutes collateral-reuse-as-money-creation for P; velocity phrasing rule (say 'Singh estimates')
2026-08-22-D1-Bill-Supply-vs-Shadow-Money.md	2026-08-30	analysis	a,b	none	claim	Triffin bill-supply-vs-shadow-money test; H1 corrected by N2b, use corrected reading not original
2026-08-22-D2-Who-Holds-The-AI-Paper.md	2026-08-23	analysis	b	F	claim	Answers F: AI debt is long-money funded at security level; full N-PORT census still open
2026-08-22-Grok-External-Review.md	2026-08-22	external return	e	none	claim	Kalecki-identity resolution is the (e) fundamentals-benchmark counterpoint the widened goal wants
2026-08-22-Guarantee-Stack.md	2026-08-22	analysis	f	F	verified	$86.2bn live/$228.3bn contracted guarantee stack vs 13x-larger lease stack — filing-sourced F evidence
2026-08-22-Nexus-Primary-Sources.md	2026-08-22	primary-data pull	b,c	none	draft	Frame doc for b/c; 4 flagged directions (Flow-of-Risk account, dealer-as-pivot) still open under widened goal
2026-08-22-Nexus-WP11289-Read.md	2026-08-22	primary-data pull	b,c	none	verified	elibrary.imf.org retrieval route and reverse-maturity-transformation concept are reusable b/c infrastructure
2026-08-22-Parcel-A-Interlock-Return.md	2026-08-22	external return	b,c	none	verified	From-whom-to-whom netting convention generalizes to interlock work across all six widened channels
2026-08-22-Parcel-B-Numbers-Return.md	2026-08-22	external return	c,e	P	claim	Margin-debt reconciliation method reusable; 83.7% equity-linked split CONTESTED (C-046/047), not settled
2026-08-22-Parcel-C-FERC-Return.md	2026-08-22	external return	f	none	superseded	Sections 2-4 wrong (C-048, filings don't exist); serves A2 persona tangent, not P/F/I
2026-08-22-Parcel-D1-Scouting-Return.md	2026-08-22	external return	a,b	none	claim	Series map/construction template usable for a/b Triffin extension; do not reuse literal FRED IDs (~50% wrong)
2026-08-23-D3-Cash-Pools-vs-Asset-Management-Structure.md	2026-08-23	analysis	b,c	none	claim	AUM-scaling test of cash-pool demand; CCP margin series already in series.tsv for channel c
2026-08-23-FT-Harvest-ABCP-Conduits-And-Equity-Repo.md	2026-09-11	analysis	b,c	P	claim	Verified on re-check: C-063 IS correctly struck-through with correction bracket at its own line 40 (not stale as a secondary doc's diagnostic implied); FT ABCP-to-equity-margin mechanism (b/c bridge) reusable, press claims still unverified
2026-08-23-Parcel-D8-Clearing-Return.md	2026-08-23	external return	c	none	verified	FICC sponsored-repo plateau (~$2.5trn) and new DTCC/Actrix series directly reusable for channel c
2026-08-23-Parcel-N3-Collateral-Return.md	2026-08-23	external return	c	none	verified	CCP margin series and Singh Table 2 read-at-source are load-bearing for c; raw return's identifiers were mostly wrong
2026-08-24-D9-Does-The-AI-Complex-Fund-Itself.md	2026-08-24	analysis	b	F	verified	Hyperscalers hold $146.2bn corp debt securities (6.6x MMF industry) — direct filing-sourced F evidence
2026-08-24-Parcel-D8b-Conduit-Return.md	2026-08-25	external return	b,c	F	verified	Capitolis/Ionic/HQLA equity-TRS-via-ABCP chain is the clearest documented b/c bridge for the widened goal
2026-08-25-N3-Singhs-Denominator-Reconciled.md	2026-08-29	analysis	c	none	claim	Superseded in turn by N3v4 (31 Aug), which rebuilds the numerator from filings — use that version
2026-08-29-D6-Stablecoins-Fifth-Cash-Pool.md	2026-08-29	analysis	b	none	verified	Stablecoin-issuer-as-cash-pool (GENIUS Act) is settled b-channel taxonomy; 2026 growth plateau noted
2026-08-29-N2c-The-Funding-Closure.md	2026-08-30	analysis	a,b,c,d	P,F	claim	Closest existing doc to the widened goal's attribution-table ask; needs re-cut under six channels not nine
2026-08-30-D10-Reuse-On-The-Measured-Chain.md	2026-09-11	analysis	c	none	claim	Dealer re-use instrumentation (PD venue split + 10-Q XBRL census) reusable; C-066/C-067 both struck
2026-08-30-FERC-EL26-Informational-Reports.md	2026-08-30	primary-data pull	f	F	verified	Negative: no RTO reports aggregate GW demand while financing (D9) is sized — F-adjacent context only
2026-08-30-N2a-Offshore-Dollar-Leg.md	2026-08-31	analysis	b	none	claim	Five-ledger offshore-dollar cash-pool map feeds z_k; C-069 rebuild is the current version
2026-08-30-Singh-Ask.md	2026-09-03	draft	c	none	draft	Not content — a send-plan for external validation; central question superseded by N3v4 section 6
2026-08-31-N2b-zk-The-Wholesale-Share.md	2026-09-03	analysis	b	none	claim	z_k (13.10%->23.07%) is the single most re-runnable channel-b metric; ready to carry N4 synthesis
2026-08-31-N3v4-Singh-Reconciliation.md	2026-09-04	analysis	c	none	claim	Current authoritative Singh-numerator panel (x2.23, 2017-2026); back-test shows his series is not a Form PF aggregate
CLAUDE.md	2026-09-11	governance	none	none	verified	Already carries the widened E-003 goal string; operating rules only, not evidence
